"Metric ID(from master list)","Metric Name","Metric Group","Metric Sub Group","Page on Report","Calculation","Source","Tab","Comments","Include in","Metric Title","KPI Text","Tooltip text","Caveats","Frequency"
"M252","DCR views through other POL service","Channel Shift","Record Views","5","Pat_DetCodeRec_Use - RecordViewsDCR","POMI, NDC_raw_data","NHS App Data File","Used in DCR stacked 100% bar chart","Beta","","","","",""
"M253","Total App Logins","Access","NHS APP","6","Logins","NDC_raw_data","NHS App Data File","For time series graph","Alpha 010","","","","",""
"M254","All time registered users","Access","NHS APP","6","all_time_nhs_app_registered_users","NDC_raw_data","NHS App Dash","For time series graph","Removed as duplicate 0f M245","","","","",""
"M255","NHS Login confirmed accounts","Access","NHS Login","6","confirmed_accounts_nhs_login","NDC_raw_data","NHS Login report","For time series graph","Alpha 011","","","","",""
"M256","NHS.UK Estimated Visits","Access","NHS UK","6","estiamated_visits_nhs_uk","NDC_raw_data","NHS UK report","For time series graph","Beta","","","","",""
"M257","Detail Coded Record Views as a % of all Record Views","Transactions","Core","7","RecordViewsDCR / RecordViews","NDC_raw_data","NHS App Data File","For time series graph","Alpha 013","","","","",""
"M258","NHS App Organ Donation Registrations","Transactions","Core","7","UsersODRegistrations","NDC_raw_data","NHS App Data File","For time series graph","Alpha 014","","","","",""
"M259","Manage Your Referral","Transactions","Jump Offs","7","manageYourReferral","NDC_raw_data","jumpoffs","For time series graph","Removed as duplicate 0f M225","","","","",""
"M260","Secondary Care Messages via NHS App","Transactions","Jump Offs","7","PKB_messages + Substrakt _messages","NDC_raw_data","jumpoffs","For time series graph","Beta","","","","",""
"M261","Secondary Care Appointments via NHS App","Transactions","Jump Offs","7","PKB_appointments","NDC_raw_data","jumpoffs","For time series graph","Removed as duplicate 0f M226","","","","",""
"M262","NHS.UK All Time Covid Vaccination Appointments Booked","Vaccine booking & Covid Pass transactions","All Time","8","CUMSUM (total_dose_1 + total_dose_2 + booster + dose_3)","NDC_raw_data","vaccinations","For time series graph","Alpha 019","","","","",""
"M263","Monthly Covid Passes Generated","Vaccine booking & Covid Pass transactions","Covid Pass","8","covid_pass + covid_pass_p5","NDC_raw_data","jumpoffs","For time series graph","Beta","","","","",""
"M264","NHS.UK Vaccination Bookings 1st dose","Vaccine booking & Covid Pass transactions","Vaccination Types","8","total_dose_1","NDC_raw_data","vaccinations","For stacked line graph","Alpha 015","","","","",""
"M265","NHS.UK Vaccination Bookings 2nd dose","Vaccine booking & Covid Pass transactions","Vaccination Types","8","total_dose_2","NDC_raw_data","vaccinations","For stacked line graph","Alpha 016","","","","",""
"M266","NHS.UK Vaccination Bookings booster","Vaccine booking & Covid Pass transactions","Vaccination Types","8","booster","NDC_raw_data","vaccinations","For stacked line graph","Alpha 017","","","","",""
"M267","NHS.UK Vaccination Bookings 3rd dose","Vaccine booking & Covid Pass transactions","Vaccination Types","8","dose_3","NDC_raw_data","vaccinations","For stacked line graph","Alpha 018","","","","",""
