"Order","Metric ID","Priority","Metric Name","Metric group","Metric sub group","Calculation","Sources","Lead","Comments","Metric Title","KPI Text","Tooltip text","Caveats","Frequency"
"35","M0171","1","PKB - carePlansJump Off Clicks","Jump Offs","Care Plans","PKB - carePlans","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"36","M0170","1","PKB - healthTrackersJump Off Clicks","Jump Offs","Health Trackers","PKB - healthTrackers","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"37","M0164","1","Manage Your Referral Jump Off Clicks","Jump Offs","Manage Your Referral","ERS - manageYourReferral","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"38","M0178","1","Substrakt - patientParticipationGroupsJump Off Clicks","Jump Offs","Patient Participation Groups","Substrakt - patientParticipationGroups","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"39","M0173","1","PKB - sharedLinksJump Off Clicks","Jump Offs","Shared Links","PKB - sharedLinks","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"40","M0166","1","PKB - messagesJump Off Clicks","Jump Offs","Messages","PKB - messages","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"41","M0172","1","Engage - messagesJump Off Clicks","Jump Offs","Messages","Engage - messages","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"42","M0176","1","Substrakt - messagesJump Off Clicks","Jump Offs","Messages","Substrakt - messages","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"43","M0174","1","Engage - adminJump Off Clicks","Jump Offs","Admin","Engage - admin","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
"44","M0177","1","Substrakt - accountAdminJump Off Clicks","Jump Offs","Admin","Substrakt - accountAdmin","WeeklyIntegratedPartners_NHSApp_Counts_yyyymmdd.csv","","Daily, Practice Level","","","","",""
